polygon_id,desc_terrain,favor_influences,detr_influences,pct_improved,desirability,occupation,fam_income,pct_foreign,predom_eth,black,pct_black,infiltration,relief_fam,pop_inc,pop_dec,pop_static,predom_build_pct,other1_pct,other2_pct,predom_build_type,other1_type,other2_type,predom_build_constr,other1_constr,other2_constr,predom_build_age,other1_age,other2_age,predom_build_repair,other1_repair,other2_repair,predom_build_pctocc,other1_pctocc,other2_pctocc,predom_build_pctown,other1_pctown,other2_pctown,predom_build_constrpastyr,other1_constrpastyr,other2_constrpastyr,predom_build_1929price,other1_1929price,other2_1929price,price2,predom_build_price2,predom_build_price2pct,other1_price2,other1_price2pct,other2_price2,other2_price2pct,price3,predom_build_price3,predom_build_price3pct,other1_price3,other1_price3pct,other2_price3,other2_price3pct,predom_build_salesdemandlim,other1_demandlim,other2_demandlim,predom_build_salesact,other1_salesact,other2_salesact,predom_build_1929rent,other1_1929rent,other2_1929rent,rent2,predom_build_rent2,predom_build_rent2pct,other1_rent2,other1_rent2pct,other2_rent2,other2_rent2pct,rent3,predom_build_rent3,predom_build_rent3pct,other1_rent3,other1_rent3pct,other2_rent3,other2_rent3pct,predom_build_rentdemandlim,other1_rentdemandlim,other2_rentdemandlim,predom_build_rentact,other1_rentact,other2_rentact,homebuy,homebuild,notes,name,sec_grade,area_num
100,Level to rolling; overlooking Mill Creek park.,"Very highly restricted. Fine winding streets. Transportation; convenient to schools, churches, and business center. Accessible to recreation and amusement. Homogeneous population. Scenic features.",Generally free from all adverse influences except that values of homes lying in extreme north end of area are somewhat affected due to proximity to cheaper neighborhoods.,60,Static to up,"Bankers, and high executives",10000-25000,0,,0,0,Desirable,None,--,--,Yes,100,,,Singles,,,Brick,,,10,,,Excellent,,,100,,,100,,,2,,,20000-100000,,,1936,10000-50000,50,,,,,1938,10-50000,50,,,,,25000,,,Fair,,,No rentals,100,,"$1,936",in,--,100,,$100,,area,--,,,,,,--,,,None,,,Ample,Ample,"area consists of unusually fine and high class properties yet within reasonable distance to center of city. It enjoys and enviable social reputation. Extends along one of the most beautiful sections of Mill Creek Park. Homes range from $10,000--$50,000 values. Lots are beautifully landscaped and the winding streets are fringed with spruce and maple trees. Wealthiest people in Youngstown reside here.",Cohassett District,A,4
1000,Level- flat and sloping,"Close to the schools, good bus transportation, churches and community shopping centers. Zoned for residences, restrictions moderately well enforced.","Street improperly graded in places, waterways poorly maintained.",20,Up- slow,"Business men, clerks & skilled mechanics","1,000-4,000",,None,None,,None,None,slowly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Approximately 150 houses in this area ranging in price from $2,000 to $8,000. Some of the hosues are old, obsolete frame dwellings intermingled with new construction of latest design. Majority of the homes are owner occuped and area is not shown which includes the new construction except along one or two of the best highways.","Between Shorecrest & Miami Shores: Portion in Miami Shores, Fla. & portion in unincorporated community.",B,3
1001,Level,Close to good bus transportation and community shopping centers,Distances from schools. Absence of zoning restrictions. Proximity of FEC Railroad.,40,Down,Clerks and skilled mechanics,"1,800-3,000",None,None,None,,None,None,,,Yes,100,,,1 sty singles,,,Frame & C B S,,,6-18,,,Fair,,,80,,,55,,,None,,,"2,500-5,000",,,1935,"3,000-5,500",115,,,,,1938,"3,000-5,500",115,,,,,Slow,,,Slow,,,25-35,,,1935,30-40,117,,,,,1938,30-40,117,,,,,Fair,,,Fair,,,Limited,Limited,This area contains a heterogeneous mixture of all kinds of property.,"Both sides of N.E 6th Avenue & Biscayne Blvd. from 83rd Terr. to 91st Terr., Miami, Florida",C,3
1003,Level,"Close to transportation, theaters and business district",Encroachment of business.,80,Down,"Merchants, laborers & winter tourists","2,000-6,000",50,German & Russian-jews,None,,German & Russian-Jews,None,Jews slowly,,,70,30,,Hotels & apartments,1 & 2 sty singles,,C B S,C B S,,6-18,1-18,,Fair,Fair,,100,100,,None,80,,None,"20 ($4,000-8,000)",,Wide variety,None,,1935,"""   """,---,"5,000-10,000",--,,,1938,"""   """,---,"5,000-10,000",--,,,Good,Good,,Good,Good,,Wide variety,30-60,,1935,"""   """,--,40-75,129,,,1938,"""   """,--,40-75,128,,,Good during season,Good during season,,Good during season,Good during season,,Ample,Ample,"This is oldest area of Miami Beach and it is located close to various night clubs, theaters, public bathing beaches and dog tracks.","Southern tip of Miami Beach, Florida",C,10
1005,Level,"Near business area, parks, golf courses, recreational centers, bathing beaches, good transportation facilities; zoned for residential","Certain streets are zoned for and restricted to hotels and apartments with some few commercial buildings, encroachment of business. Influx of Jewish race into area.",75,Down slowly,"Winter residents, executives, business and miscellaneous nondescript","3-25,000",30,Russian-German/ Polish Jews,0,,See c,None,very rapidly,,,50,50,,1 & 2 story singles,,,C B S,"Apartment & hotels reinforced concrete, hollow tile, C B S",,1-8,2-15,,Fair During season,Fair During season,,100,100,,65,-,,"30 (7-12,000)",None,,-,"20-150,000",,1935,"8000-20,000",,"30,000-250,000",159,,,1938,"8000-20,000",,"30,000-250,000",159,,,Fair,Poor,,Fair,Poor,,*,**,,,*,,**,,,,,*,,**,,,,*,**,,*,**,,Ample,Ample,*Rentals here are confined exclusively to the tourist winter season when many homes are vacated by the owner and rented furnished; prices ranging from $750 to $3000 for the season. **Apartment and hotel rooms vary greatly as to rental price during the off summer season- rooms can be had for as little as $2.50 a week and apartments for $15; the prices of these same units during the winter season will increase 400 or 500%,"8th to Dade Boulevard, Miami Beach, Florida",B,11
1006,Level filled in land; oldest island in group.,Zoned for residential and moderately restricted; readily accessible to Miami and Miami Beach business centers; desirable water front property.,Subject to occasional wind and water damage from storms. Sanitorium located in area.,40,Static,Retired capitalists professional & business,"5-100,000",0,None,None,,None,None,,,Yes,90,,,2 story singles,,,C B S,,,2-15,,,Good During season,,,100,,,100,,,-,,,"15,000-60,000",,,1935,"25,000-75,000",146,,,,,1938,"25,000-75,000",146,,,,,Poor,,,Poor,,,No rents,,,,,,,,,,,,,,,,,,,,,,,Ample,Ample,,"Belle Isle, Miami Beach, Florida",B,12
1008,Level- This is all filled in land- properly and adequately bulkheaded.,"Zoned for residences and highly restricted, Hibiscus, Palm & Star Islands have 10¢ bus or street care fare and San Marco, San Marino DiLido, Rivo Alto have 15¢ jitney fare. Transportation of this kind is used practically exclusively by the servants and help employed by the residents of the Islands.",Property on these Islands is subject to occasional high winds and water.,35,Up-Mod. rapid,"Professional men, executives & retired capitalists","10,000-50-000",,None,None,,None,None,Slowly,,,75,25,,2 sty single,1 sty single,,C B S,C B S,,1-5,1-15,,Excellent,Excellent,,95,95,,95,95,,"35 (12,000-25,000)","5 (7,000-12,000)",,None,"7,000-13,000",,1935,"15,000-30,000",,"8,000-15,000",115,,,1938,"15,-30,000",,"8,000-15,000",115,,,Fair,Fair,,Fair,Fair,,None*,None*,,1935,"""",,"""",,,,1938,"""",,"""",,,,"""","""",,"""","""",,Ample,Ample,"*A number of the houses are locally owned and aer vacated by their owners during the winter season and rented furnishes, rentals ranging from $600 to $3000 for the season.","San Marco, San Marino, DiLido, Rivo Alto, Hibiscus, Palm & Star Islands, Miami Beach, Florida",A,9
101,"Level, rolling toward Hill Creek Park.","Restricted. Good streets and transportation. Convenient to schools, churches and stores. Accessible to recreation and amusement. Scenic features. Uniformity of homes. A clean desirable area.",Nominal.,85,Static to ip,"Skilled mechanics, teachers and professions",2500-4000,2,High Class German,0,,slightly,None,slightly,--,--,90,,,Singles,,,Frame,,,10,,,Good to fair,,,$95,,,85,,,6,,,9000-23000,,,1936,6500-15000,1938,6500-15000,68,,,1938,6500-15000,68,,,,,8500,,,Good,,,70-100,,,1936,50-75,74,,,,,1938,50-75,74,,,,,50,,,Fair,,,Ample,Ample,"a desirable area by middle class people (fully 90% American). A good clean neighborhood. Pride of ownership is highly evident. More expensive homes in south section of area along Canfield Road. Property, if acquired, should be held for fair value.",Cohasset District,B,3
1016,Level,"This area includes the second most desirable and exclusive Miami Beach residences, close to good bus transportation, parks and playgrounds. Close to private and public bathing beaches, community shopping centers, theatres, night clubs; Ideal private docking facilities are connected with many of the larger estates along the various waterways.",No destrimental influences,60,Up-rapid,"Executives, professional men & retired capitalists",8000 to 50000,,None,None,,None,None,Mod. rapid,,,60,25,15,2 sty single,1 sty single,1 & 2 sy singles & apts.,C B S,C B S,C B S,1-6,1-6,6-15,Excellent,Excellent,Excellent,100 % during winter,100,90,90,90,90,100 (12000-50000),50 (12000-20000),None,None,No sales,None,1935,15000-75000,,10000-20000,,15000-50000,137,1938,15000-75000,,10000-20000,,15000-50000,137,Fair,Fair,Moderate,Fair,Fair,Moderate,None*,None*,None*,1935,"""",,"""",,"""",,1938,"""",,"""",,"""",,"""","""","""",*,*,*,Ample,Ample,"*A number of the houses are locally owned and are vacated by their owners during the Winter season and rented furnishes, rentals ranging from $1500 to $5000 for the season.","Dade Blvd. to LaGorce Island Sunset Islands- Miami Beach, Fla.",A,8
1018,Level,"This is the most exclusive and desirable ocean front property in Miami Beach. Here are located some of the finest estates. It is close to bus transportation, zoned for residences and highly restricted.",None,70,Mod. up,High salaried executives & retired capitalists,50000-100000,--,None,None,,None,,Mod. rapid,,,100,,,2 & 3 sty single,,,C B S,,,1-6,,,Excellent,,,100,,,100,,,3 (150000-250000),,,None,,,1935,150000-300000,,,,,,1938,150000-300000,,,,,,Poor,,,Poor,,,None,,,1935,None,,,,,,1938,None,,,,,,None,,,None,,,Ample,Ample,,"42 to 63 Sts., Miami Beach, Fla.",A,7
102,"Level,",Fairly good streets.,Inadequate transportation. About 4 miles to nearest school. No utilities except electricity and water. Outlying. lack of adequate fire and police protection.,25,Down,Mill workers and store and office workers.,1200--2400,10,Mixed,--,,Same,Several,--,--,Yes,100,,,Singles,,,Frame,,,15-18,,,Good,,,95,,,70,,,--,,,4000-12000,,,1936,1500-7500,63,,,,,1938,2500-7500,63,,,,,"$3,500",,,Fair,,,30--75,,,1936,25-50,71,,,,,1938,25-50,71,,,,,30,,,Good,,,Very limited,Very limited,"This area was laid out in 1918. Poorly developed and never took to the buying public because of being out of line with general growth of city. Homes are generally scattered through area. Some ""Jerry"" building along south-east end of area. Trend is definitely downward. Property, if acquired, should be sold rather than held.",Wickliffe Allotment (Lies west of city limits),C,4
