polygon_id,rentdemand1,rentdemand2,rent_act,newconstr_type,newconstr_amt,homebuy,homebuild,desirability,notes,source,date,no193,name,sec_grade,area_num,desc_terrain,favor_influences,detr_influences,inhab_type,fam_income,predom_eth,pct_predom_eth,black,pct_black,infiltration,relief_fam,pop_inc,pop_dec,data5_g_3,build_type,build_constr,build_age,build_repair,price1929,lowrent_predom,lowrent_pct,yr_current,currentprice,currentprice_predom,currentprice_pct,currentrent,currentrent_predom,currentrent_pct,peakprice,price1929_predom,peakprice_rel1929,peakrent,peakrent_rel1929,rent1929,rent1929_predom,yr_low,lowprice,data7__60,lowprice_predom,lowprice_pct,lowrent,pct_landocc,pct_homeocc,pct_homeown,salesdemand1,salesdemand2,sales_act
1,none,,none,none,none,Fair,Fair,,No activity toward promotion. Not more than 25 homes. No realty activity in 6 or 7 years.,,,,"Richmond, Virginia",C,1,Rolling,,,Working people -- some above this,"$2,000 - $4,000",,0,0,,0,0,No,No,,Singles,Frame -- a little brick,5 to 10 years,Fair,"$2,500 - $6,000",,,1937,No activity -- no sale,,,,,,,"$5,000",,,,Home Owners,,1933,No activity -- no sale,,,,No rental property,10%,100%,100%,none,,none
130,Fair,Singles $35,None,"Singles $3,000",Mediocre,Ample,Ample,Slowly advancing,"This area is on the so-called ""west side"" not easy of access and has been slow in developing for that reason.",Tom Boyle,,,"Warren, Ohio",B,1,Level and high,Well planned. Scenic features good. Overlooking Packard Park.,"Churches, stores, schools, not conveniently near.",Business & professional,3000,No,,No,,No,No,Slightly,,,Single 6 room,Frame,15,Good,$4500 - 7500,30,75%,,"4,000 - 6,500",4500,93.40%,35 - 50,35,87.50%,1929,"$4,500",,1929,,$35 - 55,$40,1932,3800 - 6000,,"3,500",52.80%,30 - 45,35,100,80,Fair,"Singles $4,500",Slow
131,Good,Singles $30,Poor,Singles & cottages,3-4 Parkman Rd.,Ample,Ample,Possible slight advance,Southeastern part of area older - poorly planned except North Todd which is good. Garden Street along R.R. has houses 50 years old poor to fair condition. New street in - not shown on map about 30 houses on this street.,W. E. Lynn,,,"Warren, Ohio",C,3,Level - higher than business district and the Mahoning Avenue side of the river,Some restrictions. Bus transport is regular (30 minute intervals),"No schools, no stores, no churches. Necessary to cross railroad to go into area.",Workers,1000,Scattering Hungarian,5,No,,No,Very few,Yes,,,5-6 rm singles,frame,15,Fair,"$3,200 - 5,000",20,66.70%,,"2,500 - 4,000",3000,85.70%,22 - 35,28,93.30%,1929,"$3,500",100,1929,100,$25 - $35,$30,1932,2000 - 3500,,2700,77.20%,15 - 30,35,100,60,Slight,"Singles $3,500",10 - 15 this year
132,Good,Singles $30,Fair,"Singles $3,500",Mediocre,Ample,Ample,Downward,East of York Street nearly all American inhabitants,W.E. Lynn,,,"Warren, Ohio",C,4,"Slopes slightly north from Railroad, otherwise level and high from east to west.","5 Churches - 2 schools, nearby stores along W. Market, Parkman and Mason Streets. Transportation by bus along both north and south boundaries.","Concentration of negroes and foreign at western extremity on Nevada, Oregon and McNyler Streets. Commercial encroachment along W. Market and Summit Streets.","Clerks, business, factory workers",1500,Greek and Hungarian,20,Yes,2,"Greek, Negro, Hungarian",Few,,,,2-story singles,Frame,20,Fair,$2700 - 5000,20,66.70%,,"2,500 - 4,500",3000,90.90%,22 - 35,28,93.30%,1921,"$3,300",110,1921,110,$25 - 35,$30,1932,2000 - 3000,,2500,75.70%,15 - 30,85,100,70,Good,"Singles $3,000 - $4,500",About 30 this year
133,good,single $40,none,"singles at $4,800",about 6,ample,ample,downward,about 6 very expensive homes along Mahoning at south end of area,Tom Boyle,,,"Warren, Ohio",B,6,Level with shade trees,Adjacent to Packard Park. Roosevelt School in area.,Possible influx of lower grade population from C-6,office employees; small business men,2000,No,,No,,Possible future,No,,,,6 room singles,frame & brick,20,good,$5500 - 15000,30,75%,,5000 - 10000,5000,83.30%,40 - 45,40,100%,1929,"$6,000",100%,1929,,$40 - 50,$40,1932,3500 - 7500,,4000,66.70%,30 - 40,90,100,80,fair,"single $5,000",none
134,Good,$25,Good,No,None,Limited,Limited,Static,"Good transportation, close to factories, school and churches also Fire Station in area.",Tom Boyle,,,"Warren, Ohio",C,6,Level,"Roosevelt School, 1 grade. Not far to factories. General Motors Plant, Ohio Lamp Factory, etc.",,Laborers - factory workers,950,Various,75,Yes,5,-,Yes,,,,Singles,Frame,25 years,Fair,$3500 - 4500,15,60%,,"3,350 - 4,250",3800,95%,20 - 35,22,88%,1929,"$4,000",,1929,,$25 - 40,$25,1932,"2,250 - 2,750",,2500,62.50%,10 - 30,75,,50,Fair,"Singles at $2,500",Fair
135,Yes,Singles $20,Slight,None,None,Limited,None,Static,Warren City Tank & Boiler Company has offices south central section of this area. Loan commitments about 20% of appraisals here. Area has slight tendency to increase of colored population.,Tom Boyle,,,"Warren, Ohio",D,4,Level,"Proximity to Packard. Sunlight Warren City Tank & Boiler Co. Grinnell Company, Youngstown Pressed Steel etc.",Very bad planning and poorly built homes,Low grade factory workers,800,Yes,70,Yes,30,No,Some,Yes,,,3 to 6 room small singles,Frame,25 years,Some good - a few terrible,$1500 - 2000,7.5,37.50%,,1500 - 1800,1500,100%,20 - 25,20,100%,1929,"$1,500",,,,$20 - 25,$20,1932,800 - 1500,,800,53.30%,5 - 15,75,100,80,Yes,"Singles about $1,500",Very slight
136,Good,Singles at $35,Poor,"Singles 2-sty $5,500",3 or 4,Ample,Ample,Slowly downward,Sunlight new plant (G.M.) will be built just north of this area.,W.E. Lynn,,,"Warren, Ohio",C,1,Level,Schools nearby in C-2 and C-7. Churches conveniently near in C-2. Walking distance of shopping center. Shade trees.,Proximity to R.R. and industry on north.,Industrial wage group,1500,Mixed,15,No,,Italian,Few,,,,5-7 rm singles,Few brick - frame,25,Fair,$4000 - 7000,30,67%,,"3,500 - 6,000",4300,71.70%,35 - 50,40,100%,1921,"$6,000",110%,1921,110%,$35 - 55,$45,1932-33,3200 - 5200,,4000,66.70%,20 - 35,90,100,70,Fair,"Singles at $4,000",Fair
137,Good,Singles $35,Good,,None,Ample,Ample,Slightly downward,Best section of area is at extreme west - Perkins Drive deserving Grade A but too small to be a separate area.,Tom Boyle,,,"Warren, Ohio",B,5,Level,"Close to city, fine shade trees, Central Jr. High School in area, churches, nearby shopping centers. Near the High School. Park adjacent to Perkins Circle.",None,Business & executive,3500,No,,No,,No,No,No,No,,6-room singles; 10-15 rm old singles; Few converted duplex,Frame & brick,40,Good,$4000 - 35000,30,66.70%,,4800 - 30000,6500,92.80%,35 - 55,35,77.80%,1929,"$7,000",100,1929,100,$40 - 60,$45,1932,3000 - 18000,,5000,71.40%,25 - 40,95,100,75,Good,"Singles $5,000",Fair
138,Good,Singles at $35,Food,None,None,Limited,Limited,"Residentially down, commercially up.","Some large houses used as rooming houses along Porter & High Streets. Many owners moved out and rented their houses - holding them for a rise because of business encroaching. Central Jr. High School in area, also St. Mary's Catholic School, Elm Road School.",Tom Boyle,,,"Warren, Ohio",C,2,"Level with slight rise eastward on Market Street. Slight depression of land along the railroad between Chestnut and Linden. Near shopping districts, and within walking distance of Republic Mill. Grade School in area. Churches in area.",,Encroaching business and industry.,Mill workers,1800,Mixed,40,Few on South Street,5 Fam.,No,Few,Yes,,,5-6 rm singles; Large old singles; Few apartments,Frame & brick,40,Fair,"$3,000 - 8,000",20,66.70%,,2500 - 6500,2800,93.30%,25 - 50,25,83.30%,1929,"$3,000",100,1929,100,$25 - 60,$30,1932,"1,800 - 6,000",,2000,"66,7%",15 - 40,90,100,60,Fair,"Singles $3,000",Fair
139,Good,6-rm singles $35,None,,None,Limit,Limit,Slow downward,"Foreigners likely to invade this area. Home Saving & Loan Companies of Youngstown, also Trumbull had about 50 foreclosures in this area which were offered for sale in October 1936. All closed out now. Prices Average 3500, the amount of the mortgage.",Tom Boyle,,,"Warren, Ohio",C,7,Level,Schools in area. Close to High School in B4 area. Adjacent to factories (for those who work in factories),Adjacent to Railroad and factories.,Factory workers & wage earners,1500,Yes,60,No,,No,No,,,,5-6 room singles,Frame,18,Fair,$3000 - 4500,25,71.40%,,2800 - 4000,3500,87.50%,30 - 37,32.5,92.80%,,"$4,000",100,,100,$30 - 40,$35,1932,2000 - 3200,,3000,75%,15 - 25,70,100,75,Good,"6-rm singles $3,500",Fair
14,Good,$40 to 60,filled up,none,none,Good,Good,,"This area has everything from abandoned homes at one time worth $100,000, to small homes worth $5,000. There are any number of apartment buildings anywhere from 3-family to 12-family apartments; will not sell on less than 25% gross return.",,,,"Richmond, Virginia",B,5,"Flat, but well drained.",,,Salaried class,"2,000 - 5,000",,0,,0,0,0,No,No,,Apts. Duplexes and singles,Brick,10 to 25 years,Fair,"All mixed up. Values from $75,000 to $5000 ",,,1937,"All mixed up. Values from $75,000 to $5000 ",,,$40 - $75,,,,,,,,Rentals run from ,,1933,"All mixed up. Values from $75,000 to $5000 ",,,,$40 - $75,100%,100%,100%,Fair for small homes only,"$5,000 to 7,000",Limited
140,Good,Singles $40,Poor,5-rm bungalows; 6-7 rm houses,15,Ample,Ample,Upward,In 1929 this section was not so well developed as it is now. Also opening of Genessee Blvd. from E. Market to Elm Road and of Woodland Avenue to the Country Club has improved value in the area. The expensive houses in this area are generally along Fairmont & Bonnie Brae. Genessee.,Tom Boyle,,,"Warren, Ohio",B,4,Level,High school in area. Grade school across street from the area in C-7 (Elm Road School),Fair grounds in center of area between Atlantic and Woodland Avenue.,Clerks - mill employees,2500,No,,No,,No,No,Yes,,,1 story bungalows; 6-rooms houses,Brick and frame,17,Good,$3500 - 11000,35,87.50%,,4000 - 8000,4200,93.30%,35 - 55,37.5,93%,1929,"$4,500",,1929,,$40 - 60,$40,1932-1933,3000 - 8000,,4000,88.90%,35 - 50,50,100,85,Good,Singles $4500,Fair
142,Good,Singles $40,Good,"Singles $6,000",3 or 4,Ample,Ample,May decline slightly,Slavish Catholic Church just out of the area at the northwest which may have tendency to concentrate Slavish into C-2 and thence into B-7,Tom Boyle,,,"Warren, Ohio",B,7,Level,"A good residential neighborhood, close to the business center. Community spirit evident. Double drive up Iddings. Known as Iddings Park.",None,Business & mill officials,3000,No,,No,,No,No,Yes,,,Few doubles; 6-10 rm singles,Frame and brick,18,Good,$5000 - 20000,$30,75%,,4000 - 15000,4000,80%,40 - 50,40,100%,1929,5000,,1929,,$40 - 55,$40,1932,"3,200 - 8,000",,3500,70%,30 - 35,95,100,95,Good,"Singles $4,000",Good
143,Good,Singles at $60,Poor,"$7,500 singles",10,Ample,Ample,Upward definitely,Paving assessments were high because of unnecessary expense of layout. In some cases the amount of special assessments exceed the price of the lot.,T. Boyle,,,"Warren, Ohio",A,1,Level - few trees in eastern end but beautiful trees in western section.,Attractive planning - adjacent Country Club - best school in city. Transportation (every 30 minutes) by bus.,"No stores convenient, no churches nearby.","Merchants, Type Professional, Manufacturers",5000,No,,No,,No,No,Yes,,,6-12 room singles,Brick - few frame,14,Very good,$7000 - 40000,40,66.70%,,6000 - 30000,6500,92.90%,50 - 100,55,91.60%,1929,"$7,000",,,,$55 - 100,$60,1932-33,5500 -  25000,,6000,85.70%,40 - 70,40,100,95,Good,"Singles $7,000",Fair
144,Best,Singles $40,Good,"Singles $6,500",A little,Ample,Ample,Upward slightly,This is the very best blue section,Tom Boyle,,,"Warren, Ohio",B,2,Level,School nearby in A-1 area. Transportation through area. Shade trees plentiful.,None,Business & professional,3000,No,,No,,No,No,Yes,,,5-8 rm singles,Frame & brick,16,Good,$5000 - 7500,30,75%,,4500 - 7200,4600,92%,40 - 50,40,100%,1929,"$5,000",,1929,,$40 - 50,$40,1932,3800 - 5000,,4300,86%,30 - 35,75,100,75,Good,"Singles $4,500",Good
145,Good,Singles $35,Good,"6-rm singles $6,000",Few,Ample,Ample,Static,Lots in this area are of good size. East Junior High School and Warren City Hospital in this area.,Tom Boyle,,,"Warren, Ohio",B,3,Level,Grade school in area - churches - transportation through the area - bus line. Zoning restrictions.,None,Some mill employees; Clerical - professional,2000,Mixed,5,No,,No,No,Yes,,,5 - 8 room singles,Frame and brick,16,Good,$4000 - 6500,30,75%,,3850 - 5500,4500,90%,35 - 50,35,87.50%,,"$5,000",,,,$40 - 50,$40,1932,3000 - 5000,,3500,70%,30 - 35,70,100,80,Good,"Singles $4,000",Fair
