polygon_id,name,not_on_form,pop_inc,pop_dec,pop_static,class_occ,pct_foreign,nationalities,pct_black,infiltration,predom_build_pct,other1_pct,predom_build_type,other1_type,predom_build_constr,other1_constr,predom_build_age,other1_age,predom_build_repair,other1_repair,predom_build_occ,other1_occ,predom_build_ownocc,other1_ownocc,predom_build_1935price,other1_1935price,predom_build_1937price,predom_build_1937pctchange,other1_1937price,other1_1937pricepctchange,price3_yr,predom_build_price3,predom_build_price3pctchange,other1_price3,other1_price3pctchange,predom_build_demand,other1_demand,predom_build_pricetrend,other1_pricetrend,predom_build_1935rent,other1_1935rent,predom_build_1937rent,predom_build_1937rentpctchange,other1_1937rent,other1_1937rentpctchange,rent3,predom_build_rent3,predom_build_rent3pctchange,other1_rent3,other1_rent3pctchange,predom_build_rentdemand,other1_rentdemand,predom_build_renttrend,other1_renttrend,newconstr_amt,newconstr_type,newconstr_perform,holc_overhang,inst_overhang,sales_yr,holc_sales,inst_sales,mortgagefunds,no193,taxper1000,desc_terrain,location,sec_grade,area_num,date
2367,"Rochester, New York",,,,Yes,"Business executives with incomes of from $10,000-$25,000+",0,,0,None,100,,"Large 1-family 2-2 1/2 story, 10 rms. & up",,"Frame, stucco & stone",,10-15,,Excellent,,100%,,100%,,No sales,,No sales,-,,,1939,No sales,-,,,Never appear on market,,,,No rentals,,No rentals,-,,,1939,No rentals,-,,,Never appear on market,,,,2,"1-family at $15,000",On order,0,0,3,0,0,Ample,9,"$19.54 Greece, $41.73 Roch. No sales reported in ""A"" areas in Greece. Effective Tax Rate for all ""A"" areas in Rochester based on 3 sales $50.49.","A small area advantageously located on the lake front at some distance from the center of Rochester but easily accessible by motor. Homes, primarily built for summer occupancy, are of fair to large size and of more than pleasing architecture. Grounds, for the most part, are spacious and well-landscaped, evidencing excellent pride of ownership. In that portion of the area which lies in Greece, dwellings are newer and even more attractive, but bear high special assessments, though the neighborhood parks, stores, churches and schools, all are nearby. The land is slightly rolling; the streets are winding and shaded. Primary drawback is that there is scarcely any market for these properties which have all been built to order by the wealthy at costs of $30,000 and more. Occassionally, a lot sells for $5,000-$6,000. Future of the area is probably static.","Shore Front, Greece & Rochester",1st,A-1,11/1/39
2368,"Rochester, New York",,,,Yes,"White collar and daily workers having incomes of $1200-5000, a few are on relief",15 ,Italians,0,None,100,,"Moderate sized 1 family 1 1/2 - 2 1/2 stories, 5-8 rooms",,Frame,,25 years,,"Many need painting, Fair to poor",,95%,,50%,,"1750-10,000*",,"1500-9,000*",(-)11,,,1939,"1500-8,000* (*Lake front)",(-)10,,,Fair up to $4000 on 2nd hand,,Stable,,15-40*,,15-50*,(+)18,,,1939,15-50* (*Summer rentals for lake front),0,,,Fair up to $35,,Stable,,2,1-fam. $4000,On order,4 at $4180,19,3,0,21,Limited,9,"19.54 Greece, $60.93 (405) No sales reported for C areas in Greece. Roch. Effective Tax Rate for all ""C"" areas in Rochester based on 405 sales $60.93","This area of slightly rolling ground, though fairly far out, has not bad transportation, all city facilities, including excellent schools, churches, parks and on Lake Avenue for 6 or 8 blocks from Lake Ontario a fair sized shopping center. It is not entirely homogeneous. On the lake front values are higher than otherwise. Floming Place, Corrigan Street and Hincher Street are decidedly below the level of the area, containing poor shacks and lots sufficiently large to avoid congestion. They are of an era which is not overly pleasing and display only fair pride of ownership. This area should remain static for a number of years.","Charlotte, Greece and Rochester",3rd,C-1,11-1-39
2369,"Rochester, New York",,Slowly,,,White-collar with incomes of $2000-5000,0,,0,Newcomers are of same class,100,,"Medium & fair sized 1-family 1 1/2 - 2 1/2 stories, 6-8 rooms",,Frame,,20 years,,Good,,98%,,70%,,"4000-10,000",,"3750-9,000",(-)9,,,1939,"3500-8,000",(-)10,,,"Fair up to $4500 on 2nd hand, Good up to $5500 on new",,Stable,,30-50,,35-55,(+)13,,,1939,35-55,0,,,Good up to $40,,Stable,,4,1-family at $5500,Fairly well,"11 at $5,409",325,3,"1 at $5,000",69,Ample,9,41.73,"Terrain rises from the river and is slightly rolling. Homes are not new and of an era when architecture was not particularly pleasing. Lots are of fair size so that there is ample space between dwellings which are set back from shaded streets. Both landscaping and pride of ownership are good. Schools, churches and stores are present and factories which offer places of employment are found nearby. While there is good transportation, the area suffers somewhat from its distance from the heart of the city. It lacks the popularity enjoyed on the other side of the river, but should not change much for some years to come. It is an area in which foreclosures were high.","Lake Ave. - Lakeville, Rochester",2nd,B-1,11/1/39
2370,"Rochester, New York",,Slowly,,,Eastman Kodak Workers with incomes $1800-3000. Very few are on relief.,5,Italian,0,Same type of newcomer,100,,Small 1-family 1 1/2 stories. 5-6 rooms,,Frame,,12 years,,Good,,98%,,70%,,1400-5500,,1200-5000,(-)10,,,1939,1000-4600,(-)10,,,Good up to $4000 on 2nd hand and $6000 on new,,Stable,,17.50-35,,20-40,(+)14,,,1939,20-40,0,,,Good up to $35,,Stable,,200,1-family $3500-6000,"25% on order, 75% rapidly",28 at $5146,82,3,10 at $3390,138,Ample,9,"19.54 Greece, $41.73 Roch. Effective Tax Rate fro this area in Greece based on 15 sales $21.30 all ""C"" areas in Roch. based on 405 sales $60.93.","A more recent and exceptionally homogeneous development having a decided appeal to employees of the nearby Eastman Kodak plant. Dwellings are detached and set back from streets many of which are nicely shaded. Design is only fair although the new construction is far more attractive. Lots are small but show pride in their upkeep. The land rolls slightly. The neighborhood has ample schools, churches and small stores. Transportation is good. A few of the cutlying streets lack sewers. It is a better than average working man's district. It is expected that this area will continue to remain static for quite some time. It is the scene of greatest building activity at the moment and some is of very poor construction.",Greece & Rochester,High 3rd,C-5,11-1-39
2371,"Rochester, New York",,Slowly,,,White collar and daily workers having incomes from $1000 to $2500. A few are on relief.,3,Mixed,0,Newcomers are of similar type,100,,Small 1-family 1 and 2 stories,,4-6 rooms - Frame,,Up to 25 years,,Fair to poor,,95%,,70%,,750-4000,,500-3750,(-)11,,,1939,500-3500,(-)6,,,Poor up to $3000 on 2nd hand and up to $4000 on new,,Stable,,15-25,,15-30,(+)13,,,1939,15-30,0,,,Poor up to $25,,Stable,,10,1-fam. $3500-4500,Slow,3 at $4465,8,3,0,14,Limited,9,"19.54 Greece, $41.73 Roch. Effective Tax Rates for all ""C"" areas in Greece based on 15 sales $21.30 in Roch. based on 405 sales $60.93","The area is not over 10% improved, still lacks sewers, has only dirt roads, is poorly located and not only lacks transportation but also schools, churches and stores. It was one of those premature developments of small homes and bungalows begun some years ago and more recently resumed in a small way. Even the design of the buildings is not good. It is not surprising that there should be a total absence of pride of ownership. Future of the neighborhood is decidedly questionable.",Greece & Rochester,Low 3rd,C-4,11-1-39
2372,"Rochester, New York",,Very slowly,,,Skilled workers in Eastman Kodak plant with incomes of $1500-2000. A few are on relief.,12,Italians & mixed foreign,0,Same class of newcomers,100,,Small & medium sized 1-family 2 - 2 1/2 stories 5-6 rooms,,Frame,,20 years,,Fair to good,,98%,,70%,,3000-6500,,2750-6000,(-)8,,,1939,2500-5500,(-)9,,,Poor up to $3500 on 2nd hand and good up to $5500 on new,,Stable,,20-40,,25-45,(+)17,,,1939,25-45,0,,,Fair up to $40,,Stable,,25,1-family at $4500-5500,Well,6 at $4661,24,3,1 at $3700,21,Ample,9,"19.54 Greece, $41.73 Roch. Effective Tax Rate for all ""C"" areas in Greece based on 15 sales $2130 in Roch. based on 405 sales $60.93","Tha land comprising this area is flat and the streets are well shaded. All city facilities are present as well as schools, churches, and good transportation. There is a small shopping center at Ridge Road and Dewey Avenue. The area is exceptionally convenient to the Eastman Kodak plant where many of the residents are employed. This plant, however, is somewhat of a detriment owing to the risk of fire and explosion from combustibles used in the manufacture of film. Dwellings are of modest size, fair design, detached and situated on medium sized lots. On the northern end of Lake Avenue are 6 or 8 large but old homes which are now entirely out of place. In general, pride of ownership is fairly well displayed. The neighborhood should not change much for some years to come.","Kodak Section, Greece and Rochester",High,C-6,11-1-39
2373,"Rochester, New York",,,,Yes,Largely skilled labor with incoems ranging from $1500-$3000,0,,0,None,95,5,Small and medium sized 1-family 1 1/2 - 2 1/2 stories 5-7 rooms,Fair sized 2-family 2 1/2 stories - 4-5 rms per unit,Frame,Frame,30 years,30 years,Good,Good,98%,97%,60%,50%,3000-5500,*6000-8000,2750-5000,(-)9,*5000-7000,(-)17,1939,2500-4500,(-)10,*4000-6500 (*Nominal),(-)12,Good up to $3500 on 2nd hand,None,Downward,Downward,20-40,25-35 per unit,25-45,(+)17,"30-40 "" """,(+)17,1939,25-45,0,"30-40 "" """,0,Fair up to $35,Fair up to $35 per unit,Stable,Stable,2,1-fam. $5500,On order,19 at $5858,82,3,2 at $3650,69,Limited,9,"41.73, Effective Tax Rate for this area based on 27 sales $55.50","This flat area with its shaded streets is well located in point of view of places of employment and easy access to the center of the city. All city facilities are present and there are amply schools, stores and churches. Transportation is good. The neighborhood is of fair age and quite homogeneous. Lots are somewhat narrow but dwellings are detached and have small front lawns. Streets are well treed. Architecture is none too pleasing but there is a certain pride of ownership none the less. Obsolescence is beginning to set in and the future trend is downward.","Rochester, N.Y.",3rd,C-7,11-1-39
2374,"Rochester, New York",,,,Yes,White-collar (largely employed in Eastman Kodak plant) with incomes of $2500-6000. A few are on relief.,0,,0,None,100,,"Medium & large one-family 2-3 stories, 7-10 rooms",,Frame & few stucco,,30 years,,Fair to good,,97%,,60%,,4500-9500,,4000-8500,(-)11,,,1939,3500-8000,(-)8,,,Good up to $4500 on 2nd hand,,Downward,,30-55,,35-60,(+)12,,,1939,35-60,0,,,Fair up to $45,,Stable,,1,1-family at $7500,On order,34 at $7284,405,3,0,275,Limited,9,"41.73, Effective Tax Rate for this area basd on 22 sales $59.26.","A neighborhood which is not homogeneous. There is a decided mixture both as to size and desirability prevailing throughout with some above and others below the general average. Both Seneca Parkway and Maplewood Ave. are distinctly better and here values run as high as $10,000. On Lake Avenue there are a number of very large and very old homes, once beautiful but having a present worth that is questionable. In the main, dwellings are set back from streets that are nicely treed and located on fairly large plottage. Grounds are well kept and there is a good pride of ownership are convenient. Transportation is good. The future does not look too bright but any downward transition should be slow. Foreclosures in this area were exceptionally high.","Maplewood Park, Rochester",Low 2nd,B-6,11/1/39
2375,"Rochester, New York",,Very slowly,,,Skilled mechanics & daily workers with incomes of $1000-2500. Quite a few on relief.,25,Italians & Germans,0,None,100,,"Small & medium sized 1-family 2 -2 1/2 stories, 4-7 rooms",,Frame,,40+ years,,"Fair only, Many need painting",,95%,,50%,,2250-8750,,2000-8000,(-)9,,,1939,2000-7500,(-)5,,,Good up to $4000 on 2nd hand,,Downward,,17 1/2 - 40,,20-45,(+)13,,,1939,20-45,0,,,Good up to $40,,Stable,,16,1-family at $4000-4500,Well,"68 at $5,736",325,3,"22 at $3,016",276,Limited,9,"41.73, Effective Tax Rate for this area based on 65 sales $70.11","A homogeneous neighborhood of substantial age which has been and should continue to hold its own because of convenience to places of employment and heart of the city. The land is flat and the streets are shaded. All city facilities are present including churches, stores, schools and good transportation. Dwellings are detached with small lawns in the front. Design is old and unattractive. Pride of ownership is but fair. There are a few cheap type apartments on Lake Avenue. Largest plant is that of Defender Photo Supply Co. Overhang is still high. HOLC investment is greater in this area than in any other.",Rochester,3rd,C-13,11/1/39
2376,"Rochester, New York",,,,Yes,Daily workers & laborers with incomes of $1000-2500. Quite a few on relief.,20,Italians & Germans,0,A gradual increase in Italians,100,,"Medium sized 1-family, 2 - 2 1/2 stories, 5-7 rooms",,Frame,,40+ years,,Fair to poor,,97%,,60%,,2250-5000,,2000-4500,(-)10,,,1939,2000-4000,(-)8,,,Good up to $3000 on 2nd hand,,Stable in lower & downward in upper bracket,,12 1/2 - 35,,15-40,(+)16,,,1939,15-40,0,,,Good up to $35,,Stable,,0,,,12 at $4612,66,3,2 at $3150,138,None,9,"41.73, Effective Tax Rate for all C areas in Rochester based on 405 sales $60.93","This is a homogeneous neighborhood of moderate sized 1-family dwellings built in a bygone era when architecture was anything but pleasing. They are all detached and are set back from the streets. Lots are of moderate size thus avoiding any air of overcongestion. Pride of ownership is only fair. There are ample schools, churches and stores as well as factories of American Laundry Machinery, Ritter Dental, Taylor Instrument, Yawman & Erke, Reed Glass Co., Rochester Packing, and other scattered small industrial plants. Transportation is good and the neighborhood is convenient from every viewpoint. Age and obsolescence are slowly driving down its desirability as a residential neighborhoods.",Podunk Town Rochester,Low 3rd,C-16,11/1/39
2377,"Rochester, New York",,,,Yes,Daily workers having incomes which range from $1000 to $2000. Quite a number are on relief.,35,Italian,0,None,100,,"Small & medium sized 1-family 1 1/2 - 2 story, 5-7 rooms",,Frame,,50+ years,,Fair to poor,,95%,,50%,,600-7000,,500-6000,(-)14,,,1939,500-5000,(-)15,,,Good up to $2250 on 2nd hand,,Stable in lower & downward in upper bracket,,12 1/2 - 25,,15-30,(+)20,,,1939,15-30,0,,,Fair up to $25,,Stable,,0,,,"28 at $4,951",81,3,"11 at $2,064",138,None,9,"41.73, Effective Tax Rate for this area based on 22 sales $70.52","A very old neighborhood which, though it still continues to decline, is far above a slum area. It is convenient to places of employment and to the center of the city. It enjoys good transportation. The land is flat and the streets are shaded. There are all city facilities and no lack of schools, churches and stores. There are some industrial plants scattered throughout. It is homogeneous. It suffers from encroachment of business and from obsolescence and the future trend is downward. Houses are rather unsightly but are detached and set back rom the street. There is almost no pride of ownership.",Rochester,High 4th,D-3,11/1/39
2378,"Rochester, New York",,,,Yes,Laborers with incomes ranging from $1000 to $2000 with a few on relief,20,Italians and Germans,0,None,100,,Small 1-family 1 - 1 1/2 stories 3-6 rooms,,Frame,,35 years,,Fair to poor,,95%,,50%,,1250-5000,,1000-4500,(-)12,,,1939,1000-4000,(-)9,,,None,,Stable in lower downward in upper bracket,,10-20,,10-25,(+)17,,,1939,10-25,0,,,Poor up to $15,,Stable,,2,1-family at $4000-4500,On order,2 at $3967,16,3,3 at $1917,7,None,9,"17.83 Gates, $19.54 Greece, $41.73 Roch. Effective Tax Rates for all C areas: in Gates based on 3 sales $17.83, in Greece based on 15 sales $21.30, in Rochester based on 405 sales 60.93","This area is probably not more than 10% improved and lacks sewerage outside the city line. In fact many of the streets have never been cut through and others are unpaved. The land is flat and generally treeless. Schools, churches, stores and transportation are entirely lacking. There is scattered industry which has attracted low class labor. These have built a nondescript mixture of unattractive small homes some of which are more shacks on plots of every size. Future of the area is decidedly questionable.","East Rochester Gates, Greece and Rochester",Low 3rd,C-12,11-1-39
2379,"Rochester, New York",,,,Yes,Skilled & unskilled laborers & white collar having incomes of $1500-5000. A few on relief,15,Italians & Germans,,None,95,5,"Small & fair-sized 1-fam. 2-3 stories, 5-9 rooms","Fair sized 2-family 2 - 2 1/2 stories, 5-6 rms. per unit",Frame,Frame,35 years,30 years,Fair to good,Fair,98%,97%,60%,50%,3000-6000,*5500-7000,2750-5500,(-)8,*5000-6500,(-)8,1939,2500-5000,(-)9,*4500-6000 (*Nominal),(-)9,Fair up to $3500 on 2nd hand,None,Downward,Downward,30-45,17 1/2 - 30 per unit,35-50,(+)13,"20 - 35 "" """,(+)16,1939,35-50,0,"20-35 "" """,0,Fair up to $45,Fair up to $35 per unit,Stable,Stable,0,,,41 at $7218,58,3,4 at $2689,48,Limited,9,"41.73, Effective Tax Rate for this area based on 27 sales $47.57","This neighborhood with its shaded streets is situated on flat land and is not wholly homogeneous in that some dwellings are decidedly better than average. This is particularly true along Chili Avenue which is popular with doctors who occassionally will pay as high as $6000 for a property. Homes are set back from the streets and are on medium sized lots which are fairly well landscaped. Pride of ownership is mediocre to good. All city facilities are present and there are ample schools, churches, and stores. Transportation and location are good. Future trend is probably slowly downward.","Chili Ave. - Genesee, Rochester",High 3rd,C-20,11/1/39
